,playerID,yearID,G,R,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,pos,avg
9,aaronha01,1954,122,58,27,6,13,69.0,2.0,2.0,28,39.0,0.0,3.0,6.0,4.0,13.0,OF,0.2799145299145299
10,aaronha01,1955,153,105,37,9,27,106.0,3.0,1.0,49,61.0,5.0,3.0,7.0,4.0,20.0,OF,0.313953488372093
11,aaronha01,1956,153,106,34,14,26,92.0,2.0,4.0,37,54.0,6.0,2.0,5.0,7.0,21.0,OF,0.3284072249589491
12,aaronha01,1957,151,118,27,6,44,132.0,1.0,1.0,57,58.0,15.0,0.0,0.0,3.0,13.0,OF,0.32195121951219513
13,aaronha01,1958,153,109,34,4,30,95.0,4.0,1.0,59,49.0,16.0,1.0,0.0,3.0,21.0,OF,0.3261231281198003
14,aaronha01,1959,154,116,46,7,39,123.0,8.0,0.0,51,54.0,17.0,4.0,0.0,9.0,19.0,OF,0.35453100158982515
15,aaronha01,1960,153,102,20,11,40,126.0,16.0,7.0,60,63.0,13.0,2.0,0.0,12.0,8.0,OF,0.29152542372881357
114,abbotku01,1994,101,41,17,3,9,33.0,3.0,0.0,16,98.0,1.0,5.0,3.0,2.0,5.0,SS,0.2492753623188406
115,abbotku01,1995,120,60,18,7,17,60.0,4.0,3.0,36,110.0,4.0,5.0,2.0,5.0,6.0,SS,0.25476190476190474
116,abbotku01,1996,109,37,18,7,8,33.0,3.0,3.0,22,99.0,1.0,3.0,4.0,0.0,7.0,SS,0.253125
117,abbotku01,1997,94,35,18,2,6,30.0,3.0,1.0,14,68.0,3.0,1.0,6.0,0.0,5.0,SS,0.27380952380952384
118,abbotku01,1998,77,26,13,1,5,24.0,2.0,1.0,12,53.0,0.0,2.0,1.0,3.0,5.0,SS,0.26288659793814434
119,abbotku01,1999,96,41,17,2,8,41.0,3.0,2.0,16,69.0,0.0,0.0,2.0,1.0,4.0,SS,0.2727272727272727
120,abbotku01,2000,79,22,7,1,6,12.0,1.0,1.0,14,51.0,2.0,1.0,0.0,1.0,2.0,SS,0.21656050955414013
195,abreubo01,1997,59,22,10,2,3,26.0,7.0,2.0,21,48.0,0.0,1.0,0.0,0.0,0.0,OF,0.25
196,abreubo01,1998,151,68,29,6,17,74.0,19.0,10.0,84,133.0,14.0,0.0,4.0,4.0,6.0,OF,0.3118712273641851
197,abreubo01,1999,152,118,35,11,20,93.0,27.0,9.0,109,113.0,8.0,3.0,0.0,4.0,13.0,OF,0.33516483516483514
198,abreubo01,2000,154,103,42,10,25,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,OF,0.3159722222222222
199,abreubo01,2001,162,118,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0,OF,0.2891156462585034
200,abreubo01,2002,157,102,50,6,20,85.0,31.0,12.0,104,117.0,9.0,3.0,0.0,6.0,11.0,OF,0.3076923076923077
201,abreubo01,2003,158,99,35,1,20,101.0,22.0,9.0,109,126.0,13.0,2.0,0.0,7.0,13.0,OF,0.29982668977469673
311,adairje01,1961,133,41,21,1,9,37.0,5.0,2.0,35,51.0,4.0,2.0,1.0,4.0,6.0,2B,0.26424870466321243
312,adairje01,1962,139,67,29,4,11,48.0,7.0,7.0,27,77.0,1.0,2.0,4.0,3.0,15.0,2B,0.2843866171003718
313,adairje01,1963,109,34,21,3,6,30.0,3.0,3.0,9,51.0,2.0,2.0,3.0,5.0,17.0,2B,0.22774869109947643
314,adairje01,1964,155,56,20,3,9,47.0,3.0,2.0,28,72.0,10.0,1.0,4.0,3.0,20.0,2B,0.2478031634446397
315,adairje01,1965,157,51,26,3,7,66.0,6.0,4.0,35,65.0,7.0,2.0,4.0,2.0,26.0,2B,0.25945017182130586
316,adairje01,1966,122,30,19,2,4,39.0,3.0,2.0,21,52.0,0.0,1.0,10.0,6.0,15.0,2B,0.24881516587677724
317,adairje01,1967,117,47,17,1,3,35.0,1.0,5.0,17,52.0,0.0,3.0,6.0,3.0,15.0,2B,0.27053140096618356
366,adamsbo03,1946,94,35,13,3,4,24.0,16.0,0.0,18,32.0,0.0,3.0,14.0,0.0,7.0,3B,0.24437299035369775
367,adamsbo03,1947,81,39,11,2,4,20.0,9.0,0.0,25,23.0,0.0,4.0,7.0,0.0,2.0,3B,0.271889400921659
368,adamsbo03,1948,87,33,20,3,1,21.0,6.0,0.0,25,23.0,0.0,1.0,7.0,0.0,5.0,3B,0.29770992366412213
369,adamsbo03,1949,107,32,16,2,0,25.0,4.0,0.0,26,36.0,0.0,0.0,5.0,0.0,6.0,3B,0.2527075812274368
370,adamsbo03,1950,115,57,21,8,3,25.0,7.0,0.0,43,29.0,0.0,0.0,3.0,0.0,2.0,3B,0.28160919540229884
371,adamsbo03,1951,125,57,12,5,5,24.0,4.0,10.0,43,40.0,0.0,1.0,3.0,0.0,6.0,3B,0.2655086848635236
372,adamsbo03,1952,154,85,25,4,6,48.0,11.0,9.0,49,67.0,0.0,0.0,8.0,0.0,15.0,3B,0.282574568288854
449,adamssp01,1923,95,40,12,0,4,35.0,20.0,19.0,26,10.0,0.0,1.0,14.0,0.0,0.0,SS,0.28938906752411575
450,adamssp01,1924,117,66,11,5,1,27.0,15.0,17.0,40,20.0,0.0,1.0,14.0,0.0,0.0,SS,0.2799043062200957
451,adamssp01,1925,149,95,29,8,2,48.0,26.0,12.0,44,15.0,0.0,7.0,9.0,0.0,0.0,SS,0.28708133971291866
452,adamssp01,1926,154,95,35,3,0,39.0,27.0,0.0,52,27.0,0.0,5.0,19.0,0.0,0.0,SS,0.3092948717948718
453,adamssp01,1927,146,100,17,7,0,49.0,26.0,0.0,42,26.0,0.0,0.0,16.0,0.0,0.0,SS,0.2921174652241113
454,adamssp01,1928,135,91,14,6,0,38.0,8.0,0.0,64,18.0,0.0,4.0,21.0,0.0,0.0,SS,0.2764378478664193
455,adamssp01,1929,74,37,8,1,0,11.0,3.0,0.0,15,5.0,0.0,1.0,5.0,0.0,0.0,SS,0.2602040816326531
483,adcocjo01,1950,102,46,16,1,8,55.0,2.0,0.0,24,24.0,0.0,0.0,3.0,0.0,12.0,1B,0.29301075268817206
484,adcocjo01,1951,113,40,16,4,10,47.0,1.0,2.0,24,29.0,0.0,1.0,2.0,0.0,25.0,1B,0.2430379746835443
485,adcocjo01,1952,117,43,22,4,13,52.0,1.0,4.0,23,38.0,0.0,1.0,1.0,0.0,10.0,1B,0.2777777777777778
486,adcocjo01,1953,157,71,33,6,18,80.0,3.0,2.0,42,82.0,0.0,2.0,6.0,0.0,22.0,1B,0.2847457627118644
487,adcocjo01,1954,133,73,27,5,23,87.0,1.0,4.0,44,58.0,0.0,3.0,11.0,4.0,7.0,1B,0.308
488,adcocjo01,1955,84,40,14,0,15,45.0,0.0,2.0,31,44.0,3.0,2.0,2.0,1.0,13.0,1B,0.2638888888888889
489,adcocjo01,1956,137,76,23,1,38,103.0,1.0,0.0,32,86.0,6.0,1.0,11.0,2.0,11.0,1B,0.2907488986784141
584,ageeto01,1966,160,98,27,8,22,86.0,44.0,18.0,41,127.0,3.0,10.0,5.0,4.0,17.0,OF,0.27344992050874406
585,ageeto01,1967,158,73,26,2,14,52.0,28.0,10.0,44,129.0,5.0,8.0,1.0,2.0,14.0,OF,0.23440453686200377
586,ageeto01,1968,132,30,12,3,5,17.0,13.0,8.0,15,103.0,3.0,4.0,3.0,1.0,8.0,OF,0.21739130434782608
587,ageeto01,1969,149,97,23,4,26,76.0,12.0,9.0,59,137.0,2.0,3.0,6.0,2.0,5.0,OF,0.27079646017699116
588,ageeto01,1970,153,107,30,7,24,75.0,31.0,15.0,55,156.0,3.0,2.0,1.0,2.0,11.0,OF,0.2861635220125786
589,ageeto01,1971,113,58,19,0,14,50.0,28.0,6.0,50,84.0,2.0,2.0,4.0,1.0,12.0,OF,0.2847058823529412
590,ageeto01,1972,114,52,23,0,13,47.0,8.0,9.0,53,92.0,6.0,4.0,1.0,3.0,18.0,OF,0.22748815165876776
684,ainsmed01,1910,33,4,1,2,0,9.0,0.0,0.0,6,0.0,0.0,0.0,1.0,0.0,0.0,C,0.19230769230769232
685,ainsmed01,1911,61,12,2,3,0,14.0,5.0,0.0,10,0.0,0.0,1.0,3.0,0.0,0.0,C,0.2214765100671141
686,ainsmed01,1912,61,22,7,2,0,22.0,4.0,0.0,14,0.0,0.0,0.0,11.0,0.0,0.0,C,0.22580645161290322
687,ainsmed01,1913,84,26,4,4,2,20.0,17.0,0.0,12,41.0,0.0,3.0,2.0,0.0,0.0,C,0.21397379912663755
688,ainsmed01,1914,62,11,7,0,0,13.0,8.0,5.0,9,28.0,0.0,1.0,1.0,0.0,0.0,C,0.2251655629139073
689,ainsmed01,1915,47,13,4,2,0,6.0,7.0,4.0,10,18.0,0.0,1.0,4.0,0.0,0.0,C,0.2
691,ainsmed01,1917,125,38,17,4,0,42.0,16.0,0.0,40,48.0,0.0,3.0,16.0,0.0,0.0,C,0.19142857142857142
799,aldremi01,1986,84,27,18,3,2,25.0,1.0,3.0,33,34.0,4.0,2.0,4.0,1.0,3.0,OF,0.25
800,aldremi01,1987,126,50,18,2,9,51.0,6.0,0.0,43,50.0,5.0,0.0,4.0,2.0,6.0,OF,0.32492997198879553
801,aldremi01,1988,139,44,15,0,3,50.0,6.0,5.0,56,65.0,13.0,0.0,1.0,3.0,10.0,OF,0.26735218508997427
802,aldremi01,1989,76,12,8,1,1,12.0,1.0,3.0,19,30.0,0.0,1.0,1.0,2.0,4.0,OF,0.22058823529411764
803,aldremi01,1990,96,22,7,1,1,18.0,1.0,2.0,37,31.0,2.0,1.0,0.0,1.0,2.0,OF,0.2422360248447205
804,aldremi01,1991,97,24,6,1,1,20.0,1.0,3.0,39,41.0,1.0,0.0,1.0,2.0,1.0,OF,0.24242424242424243
805,aldremi01,1993,95,40,13,1,10,33.0,1.0,1.0,34,45.0,2.0,0.0,3.0,0.0,7.0,OF,0.26666666666666666
936,alfoned01,1995,101,26,13,5,4,41.0,1.0,1.0,12,37.0,1.0,1.0,4.0,4.0,7.0,2B,0.27761194029850744
937,alfoned01,1996,123,36,15,2,4,40.0,2.0,0.0,25,56.0,2.0,0.0,9.0,5.0,8.0,2B,0.2608695652173913
938,alfoned01,1997,151,84,27,2,10,72.0,11.0,6.0,63,56.0,0.0,5.0,8.0,5.0,4.0,2B,0.31467181467181465
939,alfoned01,1998,144,94,28,2,17,78.0,8.0,3.0,65,77.0,1.0,3.0,2.0,3.0,11.0,2B,0.27827648114901254
940,alfoned01,1999,158,123,41,1,27,108.0,9.0,2.0,85,85.0,2.0,3.0,1.0,9.0,14.0,2B,0.304140127388535
941,alfoned01,2000,150,109,40,2,25,94.0,3.0,2.0,95,70.0,1.0,5.0,0.0,6.0,12.0,2B,0.3235294117647059
942,alfoned01,2001,124,64,22,0,17,49.0,5.0,0.0,51,62.0,0.0,5.0,1.0,5.0,7.0,2B,0.24288840262582057
955,alicelu01,1988,93,20,10,4,1,24.0,1.0,1.0,25,32.0,4.0,2.0,4.0,2.0,12.0,2B,0.21212121212121213
957,alicelu01,1992,85,26,9,11,2,32.0,2.0,5.0,27,40.0,1.0,4.0,2.0,4.0,5.0,2B,0.24528301886792453
958,alicelu01,1993,115,50,19,3,3,46.0,11.0,1.0,47,54.0,2.0,4.0,1.0,7.0,9.0,2B,0.27900552486187846
959,alicelu01,1994,88,32,12,5,5,29.0,4.0,5.0,30,38.0,4.0,3.0,1.0,3.0,1.0,2B,0.2780487804878049
960,alicelu01,1995,132,64,20,3,6,44.0,13.0,10.0,63,61.0,0.0,7.0,13.0,9.0,10.0,2B,0.26968973747016706
961,alicelu01,1996,129,54,26,3,5,42.0,11.0,3.0,52,78.0,10.0,5.0,4.0,6.0,4.0,2B,0.2578947368421053
962,alicelu01,1997,128,59,16,7,5,37.0,22.0,8.0,69,65.0,3.0,8.0,4.0,2.0,4.0,2B,0.25257731958762886
979,allenbe01,1962,159,79,27,7,12,64.0,0.0,1.0,62,82.0,10.0,0.0,7.0,4.0,9.0,2B,0.268760907504363
980,allenbe01,1963,139,52,20,1,9,43.0,0.0,0.0,38,52.0,8.0,1.0,3.0,3.0,6.0,2B,0.23990498812351543
981,allenbe01,1964,74,28,8,1,6,20.0,1.0,2.0,33,30.0,7.0,1.0,3.0,1.0,5.0,2B,0.2139917695473251
983,allenbe01,1966,101,34,18,1,5,30.0,2.0,3.0,26,40.0,5.0,2.0,2.0,1.0,10.0,2B,0.23824451410658307
984,allenbe01,1967,87,13,5,1,3,18.0,1.0,2.0,18,43.0,1.0,0.0,4.0,3.0,2.0,2B,0.19291338582677164
985,allenbe01,1968,120,31,12,4,6,40.0,2.0,0.0,28,35.0,5.0,4.0,0.0,0.0,8.0,2B,0.24128686327077747
986,allenbe01,1969,122,33,17,4,9,45.0,5.0,4.0,50,35.0,3.0,0.0,2.0,0.0,9.0,2B,0.2465753424657534
1023,allendi01,1964,162,125,38,13,29,91.0,3.0,4.0,67,138.0,13.0,0.0,6.0,3.0,8.0,1B,0.3180379746835443
1024,allendi01,1965,161,93,31,14,20,85.0,15.0,2.0,74,150.0,6.0,2.0,6.0,6.0,13.0,1B,0.30210016155088854
1025,allendi01,1966,141,112,25,10,40,110.0,10.0,6.0,68,136.0,13.0,3.0,0.0,4.0,9.0,1B,0.31679389312977096
1026,allendi01,1967,122,89,31,10,23,77.0,20.0,5.0,75,117.0,18.0,1.0,1.0,0.0,9.0,1B,0.30669546436285094
1027,allendi01,1968,152,87,17,9,33,90.0,7.0,7.0,74,161.0,15.0,1.0,2.0,7.0,7.0,1B,0.2629558541266795
1028,allendi01,1969,118,79,23,3,32,89.0,9.0,3.0,64,144.0,10.0,0.0,0.0,4.0,10.0,1B,0.2876712328767123
1029,allendi01,1970,122,88,17,5,34,101.0,5.0,4.0,71,118.0,16.0,2.0,0.0,1.0,9.0,1B,0.2788671023965142
1039,allenet01,1927,111,54,26,4,2,20.0,12.0,0.0,14,23.0,0.0,2.0,13.0,0.0,0.0,OF,0.29526462395543174
1040,allenet01,1928,129,55,30,7,1,62.0,6.0,0.0,27,29.0,0.0,1.0,14.0,0.0,0.0,OF,0.30515463917525776
1041,allenet01,1929,143,69,27,11,6,64.0,21.0,0.0,20,21.0,0.0,0.0,10.0,0.0,0.0,OF,0.29182156133828996
1042,allenet01,1930,97,58,10,2,10,38.0,6.0,0.0,17,25.0,0.0,0.0,10.0,0.0,0.0,OF,0.29225352112676056
1043,allenet01,1931,94,58,18,2,5,43.0,6.0,0.0,15,15.0,0.0,1.0,7.0,0.0,0.0,OF,0.3288590604026846
1044,allenet01,1932,54,13,6,2,1,7.0,0.0,0.0,1,12.0,0.0,2.0,1.0,0.0,0.0,OF,0.17475728155339806
1045,allenet01,1933,91,25,7,3,0,36.0,3.0,0.0,13,22.0,0.0,1.0,6.0,0.0,4.0,OF,0.2413793103448276
1134,alleyge01,1964,81,30,3,1,6,13.0,0.0,1.0,21,56.0,2.0,2.0,0.0,2.0,3.0,SS,0.21052631578947367
1135,alleyge01,1965,153,47,21,6,5,47.0,7.0,2.0,32,82.0,9.0,4.0,3.0,1.0,11.0,SS,0.252
1136,alleyge01,1966,147,88,28,10,7,43.0,8.0,8.0,27,83.0,0.0,5.0,20.0,3.0,8.0,SS,0.2987910189982729
1137,alleyge01,1967,152,59,25,7,6,55.0,10.0,5.0,36,70.0,5.0,7.0,7.0,4.0,16.0,SS,0.2872727272727273
1138,alleyge01,1968,133,48,20,2,4,39.0,13.0,5.0,39,78.0,6.0,5.0,9.0,3.0,20.0,SS,0.24472573839662448
1139,alleyge01,1969,82,28,3,2,8,32.0,4.0,0.0,19,48.0,1.0,1.0,2.0,2.0,10.0,SS,0.24561403508771928
1140,alleyge01,1970,121,46,16,5,8,41.0,7.0,3.0,31,70.0,9.0,3.0,2.0,4.0,6.0,SS,0.24413145539906103
1154,allisbo01,1959,150,83,18,9,30,85.0,13.0,8.0,60,92.0,1.0,2.0,5.0,2.0,22.0,OF,0.2614035087719298
1155,allisbo01,1960,144,79,30,3,15,69.0,11.0,9.0,92,94.0,4.0,2.0,5.0,4.0,14.0,OF,0.25149700598802394
1156,allisbo01,1961,159,83,21,3,29,105.0,2.0,7.0,103,100.0,1.0,5.0,5.0,8.0,17.0,OF,0.2446043165467626
1157,allisbo01,1962,149,102,24,8,29,102.0,8.0,5.0,84,115.0,0.0,4.0,3.0,3.0,9.0,OF,0.2658959537572254
1158,allisbo01,1963,148,99,25,4,35,91.0,6.0,1.0,90,109.0,2.0,3.0,1.0,5.0,7.0,OF,0.2713472485768501
1159,allisbo01,1964,149,90,27,4,32,86.0,10.0,1.0,92,99.0,4.0,7.0,0.0,3.0,7.0,OF,0.2865853658536585
1160,allisbo01,1965,135,71,14,5,23,78.0,10.0,2.0,73,114.0,4.0,2.0,1.0,5.0,5.0,OF,0.2328767123287671
1167,allisdo01,1871,27,28,10,2,2,27.0,1.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,C,0.3308270676691729
1168,allisdo01,1872,41,41,6,3,0,24.0,1.0,1.0,2,8.0,0.0,0.0,0.0,0.0,2.0,C,0.3197969543147208
1169,allisdo01,1873,30,17,6,0,0,11.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,2.0,C,0.265625
1170,allisdo01,1874,65,68,7,5,0,28.0,1.0,0.0,6,5.0,0.0,0.0,0.0,0.0,1.0,C,0.2830188679245283
1171,allisdo01,1875,61,38,7,0,0,21.0,2.0,0.0,6,3.0,0.0,0.0,0.0,0.0,1.0,C,0.24907063197026022
1172,allisdo01,1876,44,19,4,0,0,15.0,0.0,0.0,3,9.0,0.0,0.0,0.0,0.0,0.0,C,0.26380368098159507
1173,allisdo01,1877,29,14,2,0,0,6.0,0.0,0.0,3,7.0,0.0,0.0,0.0,0.0,0.0,C,0.14782608695652175
1220,almonbi01,1977,155,75,18,11,2,43.0,20.0,9.0,37,114.0,1.0,0.0,20.0,0.0,14.0,SS,0.26101141924959215
1221,almonbi01,1978,138,39,19,2,0,21.0,17.0,5.0,33,74.0,10.0,0.0,3.0,1.0,6.0,SS,0.2518518518518518
1222,almonbi01,1979,100,20,3,0,1,8.0,6.0,5.0,21,48.0,7.0,0.0,5.0,2.0,1.0,SS,0.22727272727272727
1223,almonbi01,1980,66,15,4,3,0,7.0,2.0,0.0,9,32.0,1.0,0.0,0.0,1.0,2.0,SS,0.19333333333333333
1224,almonbi01,1981,103,46,10,2,4,41.0,16.0,6.0,21,60.0,0.0,2.0,2.0,3.0,4.0,SS,0.3008595988538682
1225,almonbi01,1982,111,40,10,4,4,26.0,10.0,8.0,25,49.0,0.0,1.0,1.0,1.0,4.0,SS,0.2564935064935065
1226,almonbi01,1983,143,45,29,1,4,63.0,26.0,8.0,26,67.0,3.0,2.0,5.0,11.0,8.0,SS,0.2660753880266075
1248,alomaro01,1988,143,84,24,6,9,41.0,24.0,6.0,47,83.0,5.0,3.0,16.0,0.0,15.0,2B,0.26605504587155965
1249,alomaro01,1989,158,82,27,1,7,56.0,42.0,17.0,53,76.0,4.0,1.0,17.0,8.0,10.0,2B,0.2953451043338684
1250,alomaro01,1990,147,80,27,5,6,60.0,24.0,7.0,48,72.0,1.0,2.0,5.0,5.0,16.0,2B,0.28668941979522183
1251,alomaro01,1991,161,88,41,11,9,69.0,53.0,11.0,57,86.0,3.0,4.0,16.0,5.0,5.0,2B,0.29513343799058084
1252,alomaro01,1992,152,105,27,8,8,76.0,49.0,9.0,87,52.0,5.0,5.0,6.0,2.0,8.0,2B,0.30998248686514884
1253,alomaro01,1993,153,109,35,6,17,93.0,55.0,15.0,80,67.0,5.0,5.0,4.0,5.0,13.0,2B,0.32597623089983024
1254,alomaro01,1994,107,78,25,4,8,38.0,19.0,8.0,51,41.0,2.0,2.0,7.0,3.0,14.0,2B,0.30612244897959184
1266,alomasa01,1965,67,16,1,1,0,8.0,12.0,5.0,4,12.0,1.0,0.0,4.0,0.0,5.0,2B,0.24074074074074073
1269,alomasa01,1968,133,41,8,2,0,12.0,21.0,8.0,20,42.0,1.0,1.0,8.0,3.0,6.0,2B,0.2534435261707989
1270,alomasa01,1969,156,68,12,2,1,34.0,20.0,3.0,40,54.0,2.0,0.0,5.0,0.0,5.0,2B,0.2479740680713128
1271,alomasa01,1970,162,82,18,2,2,36.0,35.0,12.0,49,65.0,2.0,1.0,11.0,2.0,7.0,2B,0.25148809523809523
1272,alomasa01,1971,162,77,24,3,4,42.0,39.0,10.0,41,60.0,4.0,0.0,7.0,2.0,7.0,2B,0.2597968069666183
1273,alomasa01,1972,155,65,20,3,1,25.0,20.0,12.0,47,55.0,5.0,0.0,6.0,3.0,8.0,2B,0.23934426229508196
1274,alomasa01,1973,136,45,7,1,0,28.0,25.0,10.0,34,44.0,1.0,0.0,12.0,3.0,2.0,2B,0.23829787234042554
1282,alomasa02,1990,132,60,26,2,9,66.0,4.0,1.0,25,46.0,2.0,2.0,5.0,6.0,10.0,C,0.2898876404494382
1283,alomasa02,1991,51,10,9,0,0,7.0,0.0,4.0,8,24.0,1.0,4.0,2.0,1.0,4.0,C,0.21739130434782608
1284,alomasa02,1992,89,22,16,0,2,26.0,3.0,3.0,13,32.0,3.0,5.0,3.0,0.0,7.0,C,0.2508361204013378
1285,alomasa02,1993,64,24,7,1,6,32.0,3.0,1.0,11,28.0,0.0,6.0,1.0,4.0,3.0,C,0.26976744186046514
1286,alomasa02,1994,80,44,15,1,14,43.0,8.0,4.0,25,31.0,2.0,2.0,0.0,1.0,7.0,C,0.2876712328767123
1287,alomasa02,1995,66,32,6,0,10,35.0,3.0,1.0,7,26.0,0.0,3.0,4.0,1.0,8.0,C,0.30049261083743845
1288,alomasa02,1996,127,53,23,0,11,50.0,1.0,0.0,19,42.0,0.0,3.0,2.0,2.0,20.0,C,0.2631578947368421
1308,aloufe01,1958,75,21,9,2,4,16.0,4.0,2.0,19,34.0,2.0,1.0,1.0,1.0,1.0,OF,0.25274725274725274
1309,aloufe01,1959,95,38,13,2,10,33.0,5.0,3.0,17,38.0,1.0,0.0,1.0,3.0,5.0,OF,0.27530364372469635
1310,aloufe01,1960,106,48,17,3,8,44.0,10.0,2.0,16,42.0,1.0,2.0,3.0,4.0,9.0,OF,0.2639751552795031
1311,aloufe01,1961,132,59,19,0,18,52.0,11.0,4.0,26,41.0,2.0,2.0,2.0,2.0,11.0,OF,0.2891566265060241
1312,aloufe01,1962,154,96,30,3,25,98.0,10.0,7.0,33,66.0,2.0,5.0,2.0,5.0,4.0,OF,0.3155080213903743
1313,aloufe01,1963,157,75,31,9,20,82.0,11.0,2.0,27,87.0,3.0,6.0,5.0,4.0,13.0,OF,0.2814159292035398
1314,aloufe01,1964,121,60,26,3,9,51.0,5.0,2.0,30,41.0,5.0,4.0,1.0,5.0,5.0,OF,0.25301204819277107
1326,alouje01,1964,115,42,11,0,3,28.0,6.0,6.0,13,35.0,2.0,4.0,5.0,0.0,9.0,OF,0.27393617021276595
1327,alouje01,1965,143,76,19,4,9,52.0,8.0,5.0,13,40.0,0.0,3.0,6.0,2.0,21.0,OF,0.2983425414364641
1328,alouje01,1966,110,41,13,1,1,20.0,5.0,5.0,9,22.0,1.0,2.0,4.0,2.0,14.0,OF,0.2594594594594595
1329,alouje01,1967,129,55,15,4,5,30.0,1.0,7.0,14,39.0,2.0,4.0,6.0,0.0,10.0,OF,0.29215686274509806
1330,alouje01,1968,120,26,15,4,0,39.0,1.0,4.0,9,23.0,3.0,1.0,5.0,2.0,20.0,OF,0.26252983293556087
1331,alouje01,1969,115,49,19,4,5,34.0,4.0,6.0,15,30.0,6.0,4.0,2.0,3.0,13.0,OF,0.24778761061946902
1332,alouje01,1970,117,59,27,3,1,44.0,3.0,2.0,21,15.0,4.0,1.0,3.0,4.0,15.0,OF,0.3056768558951965
1341,alouma01,1961,81,38,7,2,6,24.0,3.0,2.0,15,18.0,2.0,0.0,1.0,1.0,4.0,OF,0.31
1342,alouma01,1962,78,28,8,1,3,14.0,3.0,1.0,14,17.0,0.0,3.0,1.0,0.0,3.0,OF,0.2923076923076923
1344,alouma01,1964,110,28,4,2,1,14.0,5.0,3.0,11,25.0,3.0,3.0,2.0,1.0,3.0,OF,0.264
1345,alouma01,1965,117,37,12,2,2,18.0,10.0,2.0,17,28.0,2.0,2.0,8.0,0.0,15.0,OF,0.23148148148148148
1346,alouma01,1966,141,86,18,9,2,27.0,23.0,15.0,24,44.0,4.0,4.0,12.0,3.0,3.0,OF,0.34205607476635513
1347,alouma01,1967,139,87,21,7,2,28.0,16.0,10.0,24,42.0,1.0,6.0,3.0,1.0,3.0,OF,0.3381818181818182
1348,alouma01,1968,146,59,28,4,0,52.0,18.0,10.0,27,26.0,6.0,2.0,7.0,4.0,10.0,OF,0.33154121863799285
1356,aloumo01,1992,115,53,28,2,9,56.0,16.0,2.0,25,46.0,0.0,1.0,5.0,5.0,5.0,OF,0.28152492668621704
1357,aloumo01,1993,136,70,29,6,18,85.0,17.0,6.0,38,53.0,9.0,5.0,3.0,7.0,9.0,OF,0.2863070539419087
1358,aloumo01,1994,107,81,31,5,22,78.0,7.0,6.0,42,63.0,10.0,2.0,0.0,5.0,7.0,OF,0.33886255924170616
1359,aloumo01,1995,93,48,22,0,14,58.0,4.0,3.0,29,56.0,6.0,9.0,0.0,4.0,9.0,OF,0.27325581395348836
1360,aloumo01,1996,143,87,28,2,21,96.0,9.0,4.0,49,83.0,7.0,2.0,0.0,7.0,15.0,OF,0.2814814814814815
1361,aloumo01,1997,150,88,29,5,23,115.0,9.0,5.0,70,85.0,9.0,4.0,0.0,7.0,13.0,OF,0.29182156133828996
1362,aloumo01,1998,159,104,34,5,38,124.0,11.0,3.0,84,87.0,11.0,5.0,0.0,6.0,14.0,OF,0.3116438356164384
1404,altmage01,1959,135,54,14,4,12,47.0,1.0,0.0,34,80.0,4.0,7.0,6.0,1.0,8.0,OF,0.24523809523809523
1405,altmage01,1960,119,50,16,4,13,51.0,4.0,3.0,32,67.0,6.0,1.0,2.0,3.0,4.0,OF,0.26646706586826346
1406,altmage01,1961,138,77,28,12,27,96.0,6.0,2.0,40,92.0,3.0,4.0,4.0,7.0,4.0,OF,0.3030888030888031
1407,altmage01,1962,147,74,27,5,22,74.0,19.0,7.0,62,89.0,14.0,5.0,0.0,2.0,8.0,OF,0.31835205992509363
1408,altmage01,1963,135,62,18,7,9,47.0,13.0,4.0,47,93.0,2.0,2.0,2.0,6.0,7.0,OF,0.27370689655172414
1409,altmage01,1964,124,48,14,1,9,47.0,4.0,2.0,18,70.0,4.0,1.0,2.0,2.0,8.0,OF,0.22985781990521326
1410,altmage01,1965,90,24,7,1,4,23.0,3.0,2.0,19,36.0,2.0,0.0,1.0,0.0,1.0,OF,0.23469387755102042
1435,altuvjo01,2011,57,26,10,1,2,12.0,7.0,3.0,5,29.0,0.0,2.0,5.0,1.0,5.0,2B,0.27601809954751133
1436,altuvjo01,2012,147,80,34,4,7,37.0,33.0,11.0,40,74.0,0.0,6.0,4.0,4.0,8.0,2B,0.2899305555555556
1437,altuvjo01,2013,152,64,31,2,5,52.0,35.0,13.0,32,85.0,5.0,2.0,4.0,8.0,24.0,2B,0.2827476038338658
1438,altuvjo01,2014,158,85,47,3,7,59.0,56.0,9.0,36,53.0,7.0,5.0,1.0,5.0,20.0,2B,0.3409090909090909
1439,altuvjo01,2015,154,86,40,4,15,66.0,38.0,13.0,33,67.0,8.0,9.0,3.0,6.0,17.0,2B,0.31347962382445144
1440,altuvjo01,2016,161,108,42,5,24,96.0,30.0,10.0,60,70.0,11.0,7.0,3.0,7.0,15.0,2B,0.3375
1441,altuvjo01,2017,153,112,39,4,24,81.0,32.0,6.0,58,84.0,3.0,9.0,1.0,4.0,19.0,2B,0.34576271186440677
