,playerID,yearID,G,R,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,pos,avg
19729,dalyto01,1889,71,39,13,5,1,40.0,18.0,0.0,38,28.0,0.0,1.0,0.0,0.0,0.0,2B,0.3
19730,dalyto01,1890,82,55,9,4,5,43.0,20.0,0.0,32,43.0,0.0,4.0,0.0,0.0,0.0,2B,0.24315068493150685
19731,dalyto01,1891,58,29,11,5,2,27.0,7.0,0.0,21,34.0,0.0,2.0,0.0,0.0,0.0,2B,0.25
19732,dalyto01,1892,124,76,15,6,4,51.0,34.0,0.0,64,62.0,0.0,5.0,0.0,0.0,0.0,2B,0.2556053811659193
19733,dalyto01,1893,126,94,21,14,8,70.0,32.0,0.0,76,65.0,0.0,0.0,0.0,0.0,0.0,2B,0.28936170212765955
19765,damonjo01,1995,47,32,11,5,3,23.0,7.0,0.0,12,22.0,0.0,1.0,2.0,3.0,2.0,OF,0.28191489361702127
19766,damonjo01,1996,145,61,22,5,6,50.0,25.0,5.0,31,64.0,3.0,3.0,10.0,5.0,4.0,OF,0.27079303675048355
19767,damonjo01,1997,146,70,12,8,8,48.0,16.0,10.0,42,70.0,2.0,3.0,6.0,1.0,3.0,OF,0.2754237288135593
19768,damonjo01,1998,161,104,30,10,18,66.0,26.0,12.0,58,84.0,4.0,4.0,3.0,3.0,4.0,OF,0.2772585669781931
19769,damonjo01,1999,145,101,39,9,14,77.0,36.0,6.0,67,50.0,5.0,3.0,3.0,4.0,13.0,OF,0.307032590051458
19770,damonjo01,2000,159,136,42,10,16,88.0,46.0,9.0,65,60.0,4.0,1.0,8.0,12.0,7.0,OF,0.3267175572519084
19771,damonjo01,2001,155,108,34,4,9,49.0,27.0,12.0,61,70.0,1.0,5.0,5.0,4.0,7.0,OF,0.2562111801242236
19814,danieka01,1986,74,34,10,4,6,23.0,15.0,2.0,22,30.0,1.0,2.0,1.0,1.0,4.0,OF,0.32044198895027626
19815,danieka01,1987,108,73,24,1,26,64.0,26.0,8.0,60,62.0,11.0,1.0,1.0,0.0,6.0,OF,0.3342391304347826
19816,danieka01,1988,140,95,29,1,18,64.0,27.0,6.0,87,94.0,10.0,3.0,0.0,4.0,11.0,OF,0.2909090909090909
19817,danieka01,1989,55,33,13,0,4,17.0,9.0,4.0,43,33.0,1.0,2.0,0.0,2.0,2.0,OF,0.24561403508771928
19818,danieka01,1990,130,81,23,1,27,94.0,4.0,3.0,68,104.0,1.0,3.0,2.0,3.0,9.0,OF,0.29555555555555557
19819,danieka01,1991,137,54,15,1,17,73.0,6.0,1.0,63,116.0,4.0,1.0,0.0,6.0,9.0,OF,0.24945770065075923
19820,danieka01,1992,83,21,11,0,6,25.0,0.0,2.0,22,54.0,0.0,2.0,0.0,2.0,10.0,OF,0.24056603773584906
